LROSE library dependencies

mm5             dataport, toolsa, physics, Mdv
Refract         tdrp, dataport, toolsa, dsdata, rapmath, Mdv
FiltAlgVirtVol  tdrp, toolsa, dsdata, rapmath, rapformats, euclid, radar, Mdv, Spdb
FiltAlg         tdrp, toolsa, euclid, rapmath, rapformats, dsdata, Mdv, Spdb
dsdata          dataport, toolsa, didss, dsserver, euclid, rapformats, rapmath, Spdb, Mdv, Fmq
radar           tdrp, dataport, toolsa, didss, rapformats, rapmath, physics, Mdv, Fmq, Spdb, Radx, Ncxx
hydro           dataport, toolsa, euclid, Mdv, shapelib
titan           dataport, toolsa, didss, dsserver, rapformats, rapmath, Mdv
Mdv             dataport, toolsa, didss, dsserver, rapformats, euclid, Radx, Ncxx
Spdb            dataport, toolsa, didss, dsserver, rapformats, euclid
Fmq             dataport, toolsa, didss, dsserver, rapformats
rapformats      dataport, toolsa, didss, euclid, physics
advect          dataport, toolsa, euclid
cidd            dataport, toolsa, dsserver
dsserver        dataport, toolsa, didss
didss           dataport, toolsa
contour         euclid
grib            euclid, toolsa, dataport
grib2           jasper
euclid          toolsa, rapmath
rapmath         toolsa, tdrp
rapplot         toolsa
qtplot          toolsa
toolsa          dataport
dataport        none
tdrp            none
Radx            Ncxx
Ncxx            none
physics         none
shapelib        none
kd              none
devguide        xview
xview           olgx
olgx            none
trmm_rsl        none
forayRal        none
